學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
5,國立成功大學,07311075,建築學系,D 日,B 學士,292,109
5,國立成功大學,07313076,都市計劃學系,D 日,B 學士,189,109
5,國立成功大學,07321049,土木工程學系,D 日,B 學士,441,109
5,國立成功大學,07322067,測量及空間資訊學系,D 日,B 學士,183,109
5,國立成功大學,09111130,牙醫學系,D 日,B 學士,56,109
5,國立成功大學,09121077,醫學系,D 日,B 學士,510,109
5,國立成功大學,09131090,護理學系,D 日,B 學士,131,109
5,國立成功大學,09141094,醫學檢驗生物技術學系,D 日,B 學士,129,109
5,國立成功大學,09151082,物理治療學系,D 日,B 學士,165,109
5,國立成功大學,09152089,職能治療學系,D 日,B 學士,122,109
5,國立成功大學,09161086,藥學系,D 日,B 學士,170,109
5,國立成功大學,10411098,交通管理科學系,D 日,B 學士,213,109
5,國立成功大學,99999102,全校不分系學士學位學程,D 日,B 學士,70,109
6,國立中興大學,02221007,歷史學系,D 日,B 學士,233,109
6,國立中興大學,02299008,文化創意產業學士學位學程,P 進,B 學士,142,109
6,國立中興大學,02311006,外國語文學系,D 日,B 學士,264,109
6,國立中興大學,02311006,外國語文學系,P 進,B 學士,232,109
6,國立中興大學,02321103,台灣人文創新學士學位學程,D 日,B 學士,16,109
6,國立中興大學,02322005,中國文學系,D 日,B 學士,238,109
6,國立中興大學,02322005,中國文學系,P 進,B 學士,171,109
6,國立中興大學,03111009,應用經濟學系,D 日,B 學士,212,109
6,國立中興大學,04111015,會計學系,D 日,B 學士,181,109
6,國立中興大學,04121019,財務金融學系,D 日,B 學士,245,109
6,國立中興大學,04131016,企業管理學系,D 日,B 學士,249,109
6,國立中興大學,04131018,創新產業經營學士學位學程,P 進,B 學士,181,109
6,國立中興大學,04143020,行銷學系,D 日,B 學士,208,109
6,國立中興大學,04211023,法律學系,D 日,B 學士,167,109
6,國立中興大學,05111026,生命科學系,D 日,B 學士,373,109
6,國立中興大學,05111029,昆蟲學系,D 日,B 學士,195,109
6,國立中興大學,05121031,生物科技學士學位學程,D 日,B 學士,125,109
6,國立中興大學,05292082,水土保持學系,D 日,B 學士,218,109
6,國立中興大學,05311039,化學系,D 日,B 學士,216,109
6,國立中興大學,05331040,物理學系,D 日,B 學士,219,109
6,國立中興大學,05411041,應用數學系,D 日,B 學士,323,109
6,國立中興大學,06131043,資訊管理學系,D 日,B 學士,139,109
6,國立中興大學,06131048,資訊科學與工程學系,D 日,B 學士,170,109
6,國立中興大學,07111055,化學工程學系,D 日,B 學士,197,109
6,國立中興大學,07112057,材料科學與工程學系,D 日,B 學士,190,109
6,國立中興大學,07121059,環境工程學系,D 日,B 學士,199,109
