統計期,畢業年,學位,學門,薪資
112年 7月,111年畢業,碩士,資訊通訊科技學門,65930.0
112年 7月,112年畢業,碩士,資訊通訊科技學門,61821.0
113年 1月,109年畢業,碩士,資訊通訊科技學門,71704.0
113年 1月,110年畢業,碩士,資訊通訊科技學門,69995.0
113年 1月,111年畢業,碩士,資訊通訊科技學門,67010.0
113年 1月,112年畢業,碩士,資訊通訊科技學門,61886.0
113年 7月,109年畢業,碩士,資訊通訊科技學門,74718.0
113年 7月,110年畢業,碩士,資訊通訊科技學門,72719.0
113年 7月,111年畢業,碩士,資訊通訊科技學門,69346.0
113年 7月,112年畢業,碩士,資訊通訊科技學門,63357.0
113年 7月,113年畢業,碩士,資訊通訊科技學門,62685.0
114年 1月,109年畢業,碩士,資訊通訊科技學門,76097.0
114年 1月,110年畢業,碩士,資訊通訊科技學門,74778.0
114年 1月,111年畢業,碩士,資訊通訊科技學門,71004.0
114年 1月,112年畢業,碩士,資訊通訊科技學門,64906.0
114年 1月,113年畢業,碩士,資訊通訊科技學門,63957.0
114年 7月,109年畢業,碩士,資訊通訊科技學門,78957.0
114年 7月,110年畢業,碩士,資訊通訊科技學門,78233.0
114年 7月,111年畢業,碩士,資訊通訊科技學門,74274.0
114年 7月,112年畢業,碩士,資訊通訊科技學門,67811.0
114年 7月,113年畢業,碩士,資訊通訊科技學門,65556.0
112年 1月,109年畢業,碩士,工程及工程業學門,69878.0
112年 1月,110年畢業,碩士,工程及工程業學門,68216.0
112年 1月,111年畢業,碩士,工程及工程業學門,62780.0
112年 7月,109年畢業,碩士,工程及工程業學門,72239.0
112年 7月,110年畢業,碩士,工程及工程業學門,70740.0
112年 7月,111年畢業,碩士,工程及工程業學門,65671.0
112年 7月,112年畢業,碩士,工程及工程業學門,62651.0
113年 1月,109年畢業,碩士,工程及工程業學門,73545.0
113年 1月,110年畢業,碩士,工程及工程業學門,71917.0
113年 1月,111年畢業,碩士,工程及工程業學門,67297.0
113年 1月,112年畢業,碩士,工程及工程業學門,61928.0
113年 7月,109年畢業,碩士,工程及工程業學門,76730.0
113年 7月,110年畢業,碩士,工程及工程業學門,74941.0
113年 7月,111年畢業,碩士,工程及工程業學門,69986.0
113年 7月,112年畢業,碩士,工程及工程業學門,64387.0
113年 7月,113年畢業,碩士,工程及工程業學門,62641.0
114年 1月,109年畢業,碩士,工程及工程業學門,79121.0
114年 1月,110年畢業,碩士,工程及工程業學門,77154.0
114年 1月,111年畢業,碩士,工程及工程業學門,72312.0
114年 1月,112年畢業,碩士,工程及工程業學門,67425.0
114年 1月,113年畢業,碩士,工程及工程業學門,63827.0
114年 7月,109年畢業,碩士,工程及工程業學門,82702.0
114年 7月,110年畢業,碩士,工程及工程業學門,80947.0
114年 7月,111年畢業,碩士,工程及工程業學門,75618.0
114年 7月,112年畢業,碩士,工程及工程業學門,71232.0
114年 7月,113年畢業,碩士,工程及工程業學門,67604.0
112年 1月,109年畢業,碩士,製造及加工學門,44296.0
112年 1月,110年畢業,碩士,製造及加工學門,43427.0
112年 1月,111年畢業,碩士,製造及加工學門,41364.0
112年 7月,109年畢業,碩士,製造及加工學門,45310.0
112年 7月,110年畢業,碩士,製造及加工學門,44300.0
112年 7月,111年畢業,碩士,製造及加工學門,42359.0
112年 7月,112年畢業,碩士,製造及加工學門,39137.0
113年 1月,109年畢業,碩士,製造及加工學門,46752.0
113年 1月,110年畢業,碩士,製造及加工學門,45379.0
113年 1月,111年畢業,碩士,製造及加工學門,44385.0
113年 1月,112年畢業,碩士,製造及加工學門,40237.0
113年 7月,109年畢業,碩士,製造及加工學門,48504.0
113年 7月,110年畢業,碩士,製造及加工學門,46831.0
113年 7月,111年畢業,碩士,製造及加工學門,45935.0
113年 7月,112年畢業,碩士,製造及加工學門,42260.0
113年 7月,113年畢業,碩士,製造及加工學門,40531.0
114年 1月,109年畢業,碩士,製造及加工學門,50272.0
114年 1月,110年畢業,碩士,製造及加工學門,49235.0
114年 1月,111年畢業,碩士,製造及加工學門,47427.0
114年 1月,112年畢業,碩士,製造及加工學門,43690.0
114年 1月,113年畢業,碩士,製造及加工學門,42483.0
114年 7月,109年畢業,碩士,製造及加工學門,51702.0
114年 7月,110年畢業,碩士,製造及加工學門,51222.0
114年 7月,111年畢業,碩士,製造及加工學門,49682.0
114年 7月,112年畢業,碩士,製造及加工學門,45566.0
114年 7月,113年畢業,碩士,製造及加工學門,44299.0
112年 1月,109年畢業,碩士,建築及營建工程學門,50671.0
112年 1月,110年畢業,碩士,建築及營建工程學門,48261.0
112年 1月,111年畢業,碩士,建築及營建工程學門,46351.0
112年 7月,109年畢業,碩士,建築及營建工程學門,52359.0
112年 7月,110年畢業,碩士,建築及營建工程學門,50708.0
112年 7月,111年畢業,碩士,建築及營建工程學門,48229.0
112年 7月,112年畢業,碩士,建築及營建工程學門,47535.0
113年 1月,109年畢業,碩士,建築及營建工程學門,54137.0
113年 1月,110年畢業,碩士,建築及營建工程學門,52250.0
113年 1月,111年畢業,碩士,建築及營建工程學門,50184.0
113年 1月,112年畢業,碩士,建築及營建工程學門,47844.0
113年 7月,109年畢業,碩士,建築及營建工程學門,56310.0
113年 7月,110年畢業,碩士,建築及營建工程學門,54879.0
113年 7月,111年畢業,碩士,建築及營建工程學門,52611.0
113年 7月,112年畢業,碩士,建築及營建工程學門,49866.0
113年 7月,113年畢業,碩士,建築及營建工程學門,48808.0
114年 1月,109年畢業,碩士,建築及營建工程學門,58101.0
114年 1月,110年畢業,碩士,建築及營建工程學門,56334.0
114年 1月,111年畢業,碩士,建築及營建工程學門,54475.0
114年 1月,112年畢業,碩士,建築及營建工程學門,52273.0
114年 1月,113年畢業,碩士,建築及營建工程學門,50173.0
114年 7月,109年畢業,碩士,建築及營建工程學門,60932.0
114年 7月,110年畢業,碩士,建築及營建工程學門,58713.0
114年 7月,111年畢業,碩士,建築及營建工程學門,57526.0
114年 7月,112年畢業,碩士,建築及營建工程學門,54815.0
114年 7月,113年畢業,碩士,建築及營建工程學門,52671.0
112年 1月,109年畢業,碩士,農業學門,47140.0
112年 1月,110年畢業,碩士,農業學門,44506.0
112年 1月,111年畢業,碩士,農業學門,44221.0
112年 7月,109年畢業,碩士,農業學門,48030.0
112年 7月,110年畢業,碩士,農業學門,45801.0
112年 7月,111年畢業,碩士,農業學門,45867.0
112年 7月,112年畢業,碩士,農業學門,44323.0
113年 1月,109年畢業,碩士,農業學門,49417.0
113年 1月,110年畢業,碩士,農業學門,47434.0
113年 1月,111年畢業,碩士,農業學門,46686.0
