學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
3,國立臺灣大學,02191004,藝術史研究所,D 日,D 博士,9,109
3,國立臺灣大學,02191004,藝術史研究所,D 日,M 碩士,39,109
3,國立臺灣大學,02221012,歷史學系,D 日,D 博士,44,109
3,國立臺灣大學,02221012,歷史學系,D 日,M 碩士,81,109
3,國立臺灣大學,02221012,歷史學系,D 日,B 學士,250,109
3,國立臺灣大學,02222013,人類學系,D 日,D 博士,14,109
3,國立臺灣大學,02222013,人類學系,D 日,M 碩士,35,109
3,國立臺灣大學,02222013,人類學系,D 日,B 學士,178,109
3,國立臺灣大學,02231014,哲學系,D 日,D 博士,25,109
3,國立臺灣大學,02231014,哲學系,D 日,M 碩士,39,109
3,國立臺灣大學,02231014,哲學系,D 日,B 學士,196,109
3,國立臺灣大學,02311007,外國語文學系,D 日,D 博士,22,109
3,國立臺灣大學,02311007,外國語文學系,D 日,M 碩士,71,109
3,國立臺灣大學,02311007,外國語文學系,D 日,B 學士,567,109
3,國立臺灣大學,02311009,日本語文學系,D 日,M 碩士,47,109
3,國立臺灣大學,02311009,日本語文學系,D 日,B 學士,259,109
3,國立臺灣大學,02312010,翻譯碩士學位學程,D 日,M 碩士,49,109
3,國立臺灣大學,02321005,臺灣文學研究所,D 日,D 博士,21,109
3,國立臺灣大學,02321005,臺灣文學研究所,D 日,M 碩士,38,109
3,國立臺灣大學,02322006,中國文學系,D 日,D 博士,47,109
3,國立臺灣大學,02322006,中國文學系,D 日,M 碩士,83,109
3,國立臺灣大學,02322006,中國文學系,D 日,B 學士,332,109
3,國立臺灣大學,02399011,語言學研究所,D 日,D 博士,16,109
3,國立臺灣大學,02399011,語言學研究所,D 日,M 碩士,34,109
3,國立臺灣大學,03111015,經濟學系,D 日,D 博士,23,109
3,國立臺灣大學,03111015,經濟學系,D 日,M 碩士,127,109
3,國立臺灣大學,03111015,經濟學系,D 日,B 學士,595,109
3,國立臺灣大學,03111015,經濟學系,N 職,M 碩士,84,109
3,國立臺灣大學,03121016,政治學系,D 日,D 博士,37,109
3,國立臺灣大學,03121016,政治學系,D 日,M 碩士,131,109
3,國立臺灣大學,03121016,政治學系,D 日,B 學士,747,109
3,國立臺灣大學,03121016,政治學系,N 職,M 碩士,85,109
3,國立臺灣大學,03131019,心理學系,D 日,D 博士,37,109
3,國立臺灣大學,03131019,心理學系,D 日,M 碩士,115,109
3,國立臺灣大學,03131019,心理學系,D 日,B 學士,304,109
3,國立臺灣大學,03141018,社會學系,D 日,D 博士,13,109
3,國立臺灣大學,03141018,社會學系,D 日,M 碩士,43,109
3,國立臺灣大學,03141018,社會學系,D 日,B 學士,218,109
3,國立臺灣大學,03142021,地理環境資源學系,D 日,D 博士,21,109
3,國立臺灣大學,03142021,地理環境資源學系,D 日,M 碩士,63,109
3,國立臺灣大學,03142021,地理環境資源學系,D 日,B 學士,167,109
3,國立臺灣大學,03142021,地理環境資源學系,N 職,M 碩士,1,109
3,國立臺灣大學,03191023,國家發展研究所,D 日,D 博士,50,109
