統計期,畢業年,學位,學門,薪資
114年 7月,112年畢業,學士,環境學門,37353.0
114年 7月,113年畢業,學士,環境學門,35352.0
112年 1月,109年畢業,學士,物理、化學及地球科學學門,40650.0
112年 1月,110年畢業,學士,物理、化學及地球科學學門,37499.0
112年 1月,111年畢業,學士,物理、化學及地球科學學門,34134.0
112年 7月,109年畢業,學士,物理、化學及地球科學學門,40823.0
112年 7月,110年畢業,學士,物理、化學及地球科學學門,38714.0
112年 7月,111年畢業,學士,物理、化學及地球科學學門,36502.0
112年 7月,112年畢業,學士,物理、化學及地球科學學門,32268.0
113年 1月,109年畢業,學士,物理、化學及地球科學學門,42758.0
113年 1月,110年畢業,學士,物理、化學及地球科學學門,42370.0
113年 1月,111年畢業,學士,物理、化學及地球科學學門,37522.0
113年 1月,112年畢業,學士,物理、化學及地球科學學門,33697.0
113年 7月,109年畢業,學士,物理、化學及地球科學學門,43914.0
113年 7月,110年畢業,學士,物理、化學及地球科學學門,41600.0
113年 7月,111年畢業,學士,物理、化學及地球科學學門,38891.0
113年 7月,112年畢業,學士,物理、化學及地球科學學門,36264.0
113年 7月,113年畢業,學士,物理、化學及地球科學學門,34057.0
114年 1月,109年畢業,學士,物理、化學及地球科學學門,46401.0
114年 1月,110年畢業,學士,物理、化學及地球科學學門,44549.0
114年 1月,111年畢業,學士,物理、化學及地球科學學門,44095.0
114年 1月,112年畢業,學士,物理、化學及地球科學學門,37841.0
114年 1月,113年畢業,學士,物理、化學及地球科學學門,35916.0
114年 7月,109年畢業,學士,物理、化學及地球科學學門,49121.0
114年 7月,110年畢業,學士,物理、化學及地球科學學門,47462.0
114年 7月,111年畢業,學士,物理、化學及地球科學學門,49392.0
114年 7月,112年畢業,學士,物理、化學及地球科學學門,40829.0
114年 7月,113年畢業,學士,物理、化學及地球科學學門,39089.0
112年 1月,109年畢業,學士,數學及統計學門,37790.0
112年 1月,110年畢業,學士,數學及統計學門,35597.0
112年 1月,111年畢業,學士,數學及統計學門,33092.0
112年 7月,109年畢業,學士,數學及統計學門,38084.0
112年 7月,110年畢業,學士,數學及統計學門,36560.0
112年 7月,111年畢業,學士,數學及統計學門,34663.0
112年 7月,112年畢業,學士,數學及統計學門,32198.0
