統計期,畢業年,學位,學門,薪資
112年 7月,109年畢業,博士,資訊通訊科技學門,99940.0
112年 7月,110年畢業,博士,資訊通訊科技學門,89410.0
112年 7月,111年畢業,博士,資訊通訊科技學門,89751.0
112年 7月,112年畢業,博士,資訊通訊科技學門,85632.0
113年 1月,109年畢業,博士,資訊通訊科技學門,101604.0
113年 1月,110年畢業,博士,資訊通訊科技學門,90630.0
113年 1月,111年畢業,博士,資訊通訊科技學門,89830.0
113年 1月,112年畢業,博士,資訊通訊科技學門,87041.0
113年 7月,109年畢業,博士,資訊通訊科技學門,106888.0
113年 7月,110年畢業,博士,資訊通訊科技學門,90594.0
113年 7月,111年畢業,博士,資訊通訊科技學門,97623.0
113年 7月,112年畢業,博士,資訊通訊科技學門,91130.0
113年 7月,113年畢業,博士,資訊通訊科技學門,93994.0
114年 1月,109年畢業,博士,資訊通訊科技學門,108806.0
114年 1月,110年畢業,博士,資訊通訊科技學門,93588.0
114年 1月,111年畢業,博士,資訊通訊科技學門,97085.0
114年 1月,112年畢業,博士,資訊通訊科技學門,95030.0
114年 1月,113年畢業,博士,資訊通訊科技學門,93935.0
114年 7月,109年畢業,博士,資訊通訊科技學門,109875.0
114年 7月,110年畢業,博士,資訊通訊科技學門,97537.0
114年 7月,111年畢業,博士,資訊通訊科技學門,101588.0
114年 7月,112年畢業,博士,資訊通訊科技學門,95624.0
114年 7月,113年畢業,博士,資訊通訊科技學門,99136.0
112年 1月,109年畢業,博士,工程及工程業學門,89128.0
112年 1月,110年畢業,博士,工程及工程業學門,85443.0
112年 1月,111年畢業,博士,工程及工程業學門,81874.0
112年 7月,109年畢業,博士,工程及工程業學門,90924.0
112年 7月,110年畢業,博士,工程及工程業學門,89177.0
112年 7月,111年畢業,博士,工程及工程業學門,86827.0
112年 7月,112年畢業,博士,工程及工程業學門,82218.0
113年 1月,109年畢業,博士,工程及工程業學門,93049.0
113年 1月,110年畢業,博士,工程及工程業學門,90398.0
113年 1月,111年畢業,博士,工程及工程業學門,87470.0
113年 1月,112年畢業,博士,工程及工程業學門,81755.0
113年 7月,109年畢業,博士,工程及工程業學門,96701.0
113年 7月,110年畢業,博士,工程及工程業學門,93626.0
113年 7月,111年畢業,博士,工程及工程業學門,92074.0
113年 7月,112年畢業,博士,工程及工程業學門,86913.0
113年 7月,113年畢業,博士,工程及工程業學門,80214.0
114年 1月,109年畢業,博士,工程及工程業學門,97769.0
114年 1月,110年畢業,博士,工程及工程業學門,95829.0
114年 1月,111年畢業,博士,工程及工程業學門,93173.0
114年 1月,112年畢業,博士,工程及工程業學門,87428.0
114年 1月,113年畢業,博士,工程及工程業學門,82397.0
114年 7月,109年畢業,博士,工程及工程業學門,101689.0
114年 7月,110年畢業,博士,工程及工程業學門,99492.0
114年 7月,111年畢業,博士,工程及工程業學門,96285.0
114年 7月,112年畢業,博士,工程及工程業學門,92155.0
114年 7月,113年畢業,博士,工程及工程業學門,87396.0
112年 1月,109年畢業,博士,製造及加工學門,
112年 1月,110年畢業,博士,製造及加工學門,57143.0
112年 1月,111年畢業,博士,製造及加工學門,
112年 7月,109年畢業,博士,製造及加工學門,
112年 7月,110年畢業,博士,製造及加工學門,57633.0
112年 7月,111年畢業,博士,製造及加工學門,
112年 7月,112年畢業,博士,製造及加工學門,
113年 1月,109年畢業,博士,製造及加工學門,
113年 1月,110年畢業,博士,製造及加工學門,63555.0
113年 1月,111年畢業,博士,製造及加工學門,
113年 1月,112年畢業,博士,製造及加工學門,60385.0
113年 7月,109年畢業,博士,製造及加工學門,
113年 7月,110年畢業,博士,製造及加工學門,63359.0
113年 7月,111年畢業,博士,製造及加工學門,
113年 7月,112年畢業,博士,製造及加工學門,
113年 7月,113年畢業,博士,製造及加工學門,
114年 1月,109年畢業,博士,製造及加工學門,
114年 1月,110年畢業,博士,製造及加工學門,65576.0
114年 1月,111年畢業,博士,製造及加工學門,
114年 1月,112年畢業,博士,製造及加工學門,
114年 1月,113年畢業,博士,製造及加工學門,
114年 7月,109年畢業,博士,製造及加工學門,
114年 7月,110年畢業,博士,製造及加工學門,59617.0
114年 7月,111年畢業,博士,製造及加工學門,
114年 7月,112年畢業,博士,製造及加工學門,66553.0
114年 7月,113年畢業,博士,製造及加工學門,
112年 1月,109年畢業,博士,建築及營建工程學門,66260.0
112年 1月,110年畢業,博士,建築及營建工程學門,66196.0
112年 1月,111年畢業,博士,建築及營建工程學門,75129.0
112年 7月,109年畢業,博士,建築及營建工程學門,67955.0
112年 7月,110年畢業,博士,建築及營建工程學門,67116.0
112年 7月,111年畢業,博士,建築及營建工程學門,74137.0
112年 7月,112年畢業,博士,建築及營建工程學門,54019.0
113年 1月,109年畢業,博士,建築及營建工程學門,71246.0
113年 1月,110年畢業,博士,建築及營建工程學門,66048.0
113年 1月,111年畢業,博士,建築及營建工程學門,76961.0
113年 1月,112年畢業,博士,建築及營建工程學門,64542.0
113年 7月,109年畢業,博士,建築及營建工程學門,73349.0
113年 7月,110年畢業,博士,建築及營建工程學門,70233.0
113年 7月,111年畢業,博士,建築及營建工程學門,79705.0
113年 7月,112年畢業,博士,建築及營建工程學門,62918.0
113年 7月,113年畢業,博士,建築及營建工程學門,72787.0
114年 1月,109年畢業,博士,建築及營建工程學門,74244.0
114年 1月,110年畢業,博士,建築及營建工程學門,76474.0
114年 1月,111年畢業,博士,建築及營建工程學門,79935.0
114年 1月,112年畢業,博士,建築及營建工程學門,67505.0
114年 1月,113年畢業,博士,建築及營建工程學門,73271.0
114年 7月,109年畢業,博士,建築及營建工程學門,72845.0
114年 7月,110年畢業,博士,建築及營建工程學門,86858.0
114年 7月,111年畢業,博士,建築及營建工程學門,80346.0
114年 7月,112年畢業,博士,建築及營建工程學門,66238.0
114年 7月,113年畢業,博士,建築及營建工程學門,78354.0
112年 1月,109年畢業,博士,農業學門,68433.0
112年 1月,110年畢業,博士,農業學門,
112年 1月,111年畢業,博士,農業學門,
112年 7月,109年畢業,博士,農業學門,
112年 7月,110年畢業,博士,農業學門,
112年 7月,111年畢業,博士,農業學門,
112年 7月,112年畢業,博士,農業學門,
113年 1月,109年畢業,博士,農業學門,
113年 1月,110年畢業,博士,農業學門,
113年 1月,111年畢業,博士,農業學門,
113年 1月,112年畢業,博士,農業學門,
113年 7月,109年畢業,博士,農業學門,
113年 7月,110年畢業,博士,農業學門,
113年 7月,111年畢業,博士,農業學門,
113年 7月,112年畢業,博士,農業學門,
113年 7月,113年畢業,博士,農業學門,
114年 1月,109年畢業,博士,農業學門,
114年 1月,110年畢業,博士,農業學門,
114年 1月,111年畢業,博士,農業學門,
114年 1月,112年畢業,博士,農業學門,
114年 1月,113年畢業,博士,農業學門,62945.0
114年 7月,109年畢業,博士,農業學門,
114年 7月,110年畢業,博士,農業學門,
114年 7月,111年畢業,博士,農業學門,
114年 7月,112年畢業,博士,農業學門,
114年 7月,113年畢業,博士,農業學門,63933.0
112年 1月,109年畢業,博士,林業學門,
112年 1月,110年畢業,博士,林業學門,
112年 1月,111年畢業,博士,林業學門,
112年 7月,109年畢業,博士,林業學門,
112年 7月,110年畢業,博士,林業學門,
112年 7月,111年畢業,博士,林業學門,
112年 7月,112年畢業,博士,林業學門,
113年 1月,109年畢業,博士,林業學門,
113年 1月,110年畢業,博士,林業學門,
113年 1月,111年畢業,博士,林業學門,
113年 1月,112年畢業,博士,林業學門,
113年 7月,109年畢業,博士,林業學門,
113年 7月,110年畢業,博士,林業學門,
113年 7月,111年畢業,博士,林業學門,
113年 7月,112年畢業,博士,林業學門,
113年 7月,113年畢業,博士,林業學門,
114年 1月,109年畢業,博士,林業學門,
114年 1月,110年畢業,博士,林業學門,
114年 1月,111年畢業,博士,林業學門,
114年 1月,112年畢業,博士,林業學門,
114年 1月,113年畢業,博士,林業學門,
114年 7月,109年畢業,博士,林業學門,
114年 7月,110年畢業,博士,林業學門,
114年 7月,111年畢業,博士,林業學門,
114年 7月,112年畢業,博士,林業學門,
114年 7月,113年畢業,博士,林業學門,
112年 1月,109年畢業,博士,漁業學門,
112年 1月,110年畢業,博士,漁業學門,
112年 1月,111年畢業,博士,漁業學門,
112年 7月,109年畢業,博士,漁業學門,
112年 7月,110年畢業,博士,漁業學門,
112年 7月,111年畢業,博士,漁業學門,
112年 7月,112年畢業,博士,漁業學門,
113年 1月,109年畢業,博士,漁業學門,
113年 1月,110年畢業,博士,漁業學門,
113年 1月,111年畢業,博士,漁業學門,
113年 1月,112年畢業,博士,漁業學門,
113年 7月,109年畢業,博士,漁業學門,
113年 7月,110年畢業,博士,漁業學門,
113年 7月,111年畢業,博士,漁業學門,
113年 7月,112年畢業,博士,漁業學門,
113年 7月,113年畢業,博士,漁業學門,
114年 1月,109年畢業,博士,漁業學門,
114年 1月,110年畢業,博士,漁業學門,
114年 1月,111年畢業,博士,漁業學門,
114年 1月,112年畢業,博士,漁業學門,
114年 1月,113年畢業,博士,漁業學門,
114年 7月,109年畢業,博士,漁業學門,
114年 7月,110年畢業,博士,漁業學門,
114年 7月,111年畢業,博士,漁業學門,
114年 7月,112年畢業,博士,漁業學門,
114年 7月,113年畢業,博士,漁業學門,
112年 1月,109年畢業,博士,獸醫學門,
112年 1月,110年畢業,博士,獸醫學門,
112年 1月,111年畢業,博士,獸醫學門,
112年 7月,109年畢業,博士,獸醫學門,
112年 7月,110年畢業,博士,獸醫學門,
112年 7月,111年畢業,博士,獸醫學門,
112年 7月,112年畢業,博士,獸醫學門,
113年 1月,109年畢業,博士,獸醫學門,
113年 1月,110年畢業,博士,獸醫學門,
113年 1月,111年畢業,博士,獸醫學門,
113年 1月,112年畢業,博士,獸醫學門,
113年 7月,109年畢業,博士,獸醫學門,
113年 7月,110年畢業,博士,獸醫學門,
113年 7月,111年畢業,博士,獸醫學門,
113年 7月,112年畢業,博士,獸醫學門,
113年 7月,113年畢業,博士,獸醫學門,
114年 1月,109年畢業,博士,獸醫學門,
114年 1月,110年畢業,博士,獸醫學門,
114年 1月,111年畢業,博士,獸醫學門,
114年 1月,112年畢業,博士,獸醫學門,
114年 1月,113年畢業,博士,獸醫學門,
114年 7月,109年畢業,博士,獸醫學門,
114年 7月,110年畢業,博士,獸醫學門,
114年 7月,111年畢業,博士,獸醫學門,
114年 7月,112年畢業,博士,獸醫學門,
114年 7月,113年畢業,博士,獸醫學門,
112年 1月,109年畢業,博士,醫藥衛生學門,81968.0
112年 1月,110年畢業,博士,醫藥衛生學門,79389.0
112年 1月,111年畢業,博士,醫藥衛生學門,77525.0
112年 7月,109年畢業,博士,醫藥衛生學門,84942.0
112年 7月,110年畢業,博士,醫藥衛生學門,81615.0
112年 7月,111年畢業,博士,醫藥衛生學門,77190.0
112年 7月,112年畢業,博士,醫藥衛生學門,81182.0
113年 1月,109年畢業,博士,醫藥衛生學門,86229.0
113年 1月,110年畢業,博士,醫藥衛生學門,82024.0
113年 1月,111年畢業,博士,醫藥衛生學門,79127.0
113年 1月,112年畢業,博士,醫藥衛生學門,78375.0
113年 7月,109年畢業,博士,醫藥衛生學門,89510.0
113年 7月,110年畢業,博士,醫藥衛生學門,86588.0
113年 7月,111年畢業,博士,醫藥衛生學門,82197.0
113年 7月,112年畢業,博士,醫藥衛生學門,79052.0
