學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0007,國立陽明交通大學,07311085,建築研究所,D 日,M 碩士,68,7,24,18 新竹市,1 一般
113,0007,國立陽明交通大學,07321071,土木工程學系,D 日,D 博士,59,0,4,18 新竹市,1 一般
113,0007,國立陽明交通大學,07321071,土木工程學系,D 日,M 碩士,203,0,75,18 新竹市,1 一般
113,0007,國立陽明交通大學,07321071,土木工程學系,D 日,B 學士,329,29,65,18 新竹市,1 一般
113,0007,國立陽明交通大學,09111160,牙醫學系,D 日,D 博士,16,0,5,18 新竹市,1 一般
113,0007,國立陽明交通大學,09111160,牙醫學系,D 日,M 碩士,14,0,10,18 新竹市,1 一般
113,0007,國立陽明交通大學,09111160,牙醫學系,D 日,B 學士,253,11,43,18 新竹市,1 一般
113,0007,國立陽明交通大學,09111162,口腔生物研究所,D 日,D 博士,14,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09111162,口腔生物研究所,D 日,M 碩士,18,7,8,18 新竹市,1 一般
113,0007,國立陽明交通大學,09111169,口腔組織工程暨生技材料研究所,D 日,M 碩士,8,6,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121125,醫學系,D 日,B 學士,879,77,151,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121126,臨床醫學研究所,D 日,D 博士,106,0,17,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121126,臨床醫學研究所,D 日,M 碩士,22,10,8,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121126,臨床醫學研究所,N 職,M 碩士,8,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121128,分子醫學博士學位學程,D 日,D 博士,103,2,11,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121129,生理學研究所,D 日,D 博士,8,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121129,生理學研究所,D 日,M 碩士,37,8,11,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121130,神經科學研究所,D 日,D 博士,28,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121130,神經科學研究所,D 日,M 碩士,41,10,17,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121132,解剖學及細胞生物學研究所,D 日,M 碩士,50,7,15,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121133,急重症醫學研究所,D 日,D 博士,33,0,2,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121133,急重症醫學研究所,D 日,M 碩士,20,7,6,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121134,腦科學研究所,D 日,D 博士,59,0,6,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121134,腦科學研究所,D 日,M 碩士,56,10,19,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121136,轉譯醫學博士學位學程,D 日,D 博士,8,2,2,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121144,藥理學研究所,D 日,D 博士,20,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121144,藥理學研究所,D 日,M 碩士,33,6,14,18 新竹市,1 一般
